,County,County Code,Year,Deaths
0,"Acadia Parish, LA",22001,2003,11
1,"Acadia Parish, LA",22001,2005,23
2,"Acadia Parish, LA",22001,2006,19
3,"Acadia Parish, LA",22001,2007,19
4,"Acadia Parish, LA",22001,2009,11
5,"Acadia Parish, LA",22001,2010,13
6,"Acadia Parish, LA",22001,2011,10
7,"Ada County, ID",16001,2003,17
8,"Ada County, ID",16001,2004,21
9,"Ada County, ID",16001,2005,20
10,"Ada County, ID",16001,2006,32
11,"Ada County, ID",16001,2007,32
12,"Ada County, ID",16001,2008,37
13,"Ada County, ID",16001,2009,44
14,"Ada County, ID",16001,2010,35
15,"Ada County, ID",16001,2011,45
16,"Ada County, ID",16001,2012,28
17,"Ada County, ID",16001,2013,55
18,"Ada County, ID",16001,2014,65
19,"Ada County, ID",16001,2015,44
20,"Adams County, CO",8001,2003,42
21,"Adams County, CO",8001,2004,46
22,"Adams County, CO",8001,2005,63
23,"Adams County, CO",8001,2006,62
24,"Adams County, CO",8001,2007,70
25,"Adams County, CO",8001,2008,50
26,"Adams County, CO",8001,2009,67
27,"Adams County, CO",8001,2010,53
28,"Adams County, CO",8001,2011,88
29,"Adams County, CO",8001,2012,91
30,"Adams County, CO",8001,2013,78
31,"Adams County, CO",8001,2014,88
32,"Adams County, CO",8001,2015,84
33,"Adams County, IL",17001,2015,14
34,"Adams County, OH",39001,2012,10
35,"Adams County, OH",39001,2014,10
36,"Adams County, OH",39001,2015,13
37,"Adams County, PA",42001,2009,12
38,"Adams County, PA",42001,2010,10
39,"Aiken County, SC",45003,2003,10
40,"Aiken County, SC",45003,2004,16
41,"Aiken County, SC",45003,2005,13
42,"Aiken County, SC",45003,2006,25
43,"Aiken County, SC",45003,2007,19
44,"Aiken County, SC",45003,2008,18
45,"Aiken County, SC",45003,2009,21
46,"Aiken County, SC",45003,2010,25
47,"Aiken County, SC",45003,2011,22
48,"Aiken County, SC",45003,2012,26
49,"Aiken County, SC",45003,2013,27
50,"Aiken County, SC",45003,2014,26
51,"Aiken County, SC",45003,2015,30
52,"Alachua County, FL",12001,2003,11
53,"Alachua County, FL",12001,2007,17
54,"Alachua County, FL",12001,2009,15
55,"Alachua County, FL",12001,2010,15
56,"Alachua County, FL",12001,2011,14
57,"Alachua County, FL",12001,2012,14
58,"Alachua County, FL",12001,2013,12
59,"Alachua County, FL",12001,2014,19
60,"Alachua County, FL",12001,2015,23
61,"Alamance County, NC",37001,2005,11
62,"Alamance County, NC",37001,2006,10
63,"Alamance County, NC",37001,2007,11
64,"Alamance County, NC",37001,2008,19
65,"Alamance County, NC",37001,2009,20
66,"Alamance County, NC",37001,2011,16
67,"Alamance County, NC",37001,2012,19
68,"Alamance County, NC",37001,2013,15
69,"Alamance County, NC",37001,2014,16
70,"Alamance County, NC",37001,2015,14
71,"Alameda County, CA",6001,2003,124
72,"Alameda County, CA",6001,2004,154
73,"Alameda County, CA",6001,2005,172
74,"Alameda County, CA",6001,2006,182
75,"Alameda County, CA",6001,2007,185
76,"Alameda County, CA",6001,2008,157
77,"Alameda County, CA",6001,2009,153
78,"Alameda County, CA",6001,2010,131
79,"Alameda County, CA",6001,2011,167
80,"Alameda County, CA",6001,2012,133
81,"Alameda County, CA",6001,2013,174
82,"Alameda County, CA",6001,2014,165
83,"Alameda County, CA",6001,2015,210
84,"Albany County, NY",36001,2006,11
85,"Albany County, NY",36001,2007,28
86,"Albany County, NY",36001,2008,15
87,"Albany County, NY",36001,2009,10
88,"Albany County, NY",36001,2010,24
89,"Albany County, NY",36001,2011,26
90,"Albany County, NY",36001,2012,13
91,"Albany County, NY",36001,2013,29
92,"Albany County, NY",36001,2014,25
93,"Albany County, NY",36001,2015,27
94,"Alexander County, NC",37003,2009,11
95,"Alexander County, NC",37003,2015,11
96,"Alexandria city, VA",51510,2009,12
97,"Alexandria city, VA",51510,2015,11
98,"Allegan County, MI",26005,2007,17
99,"Allegan County, MI",26005,2009,12
100,"Allegan County, MI",26005,2013,10
101,"Allegan County, MI",26005,2014,21
102,"Allegany County, MD",24001,2003,15
103,"Allegany County, MD",24001,2006,12
104,"Allegany County, MD",24001,2011,10
105,"Allegany County, MD",24001,2015,11
106,"Allegheny County, PA",42003,2003,197
107,"Allegheny County, PA",42003,2004,195
108,"Allegheny County, PA",42003,2005,207
109,"Allegheny County, PA",42003,2006,150
110,"Allegheny County, PA",42003,2007,195
111,"Allegheny County, PA",42003,2008,222
112,"Allegheny County, PA",42003,2009,217
113,"Allegheny County, PA",42003,2010,231
114,"Allegheny County, PA",42003,2011,241
115,"Allegheny County, PA",42003,2012,276
116,"Allegheny County, PA",42003,2013,264
117,"Allegheny County, PA",42003,2014,314
118,"Allegheny County, PA",42003,2015,414
119,"Allen County, IN",18003,2004,20
120,"Allen County, IN",18003,2005,24
121,"Allen County, IN",18003,2006,19
122,"Allen County, IN",18003,2007,18
123,"Allen County, IN",18003,2008,22
124,"Allen County, IN",18003,2009,31
125,"Allen County, IN",18003,2010,33
126,"Allen County, IN",18003,2011,25
127,"Allen County, IN",18003,2012,33
128,"Allen County, IN",18003,2013,47
129,"Allen County, IN",18003,2014,51
130,"Allen County, IN",18003,2015,57
131,"Allen County, OH",39003,2012,14
132,"Allen County, OH",39003,2013,15
133,"Allen County, OH",39003,2014,12
134,"Allen County, OH",39003,2015,18
135,"Amador County, CA",6005,2009,13
136,"Amador County, CA",6005,2014,11
137,"Anchorage Borough, AK",2020,2003,31
138,"Anchorage Borough, AK",2020,2004,26
139,"Anchorage Borough, AK",2020,2005,28
140,"Anchorage Borough, AK",2020,2006,24
141,"Anchorage Borough, AK",2020,2007,37
142,"Anchorage Borough, AK",2020,2008,56
143,"Anchorage Borough, AK",2020,2009,57
144,"Anchorage Borough, AK",2020,2010,33
145,"Anchorage Borough, AK",2020,2011,47
146,"Anchorage Borough, AK",2020,2012,54
147,"Anchorage Borough, AK",2020,2013,44
148,"Anchorage Borough, AK",2020,2014,48
149,"Anchorage Borough, AK",2020,2015,52
150,"Anderson County, SC",45007,2003,12
151,"Anderson County, SC",45007,2004,18
152,"Anderson County, SC",45007,2005,19
153,"Anderson County, SC",45007,2006,18
154,"Anderson County, SC",45007,2007,25
155,"Anderson County, SC",45007,2008,29
156,"Anderson County, SC",45007,2009,41
157,"Anderson County, SC",45007,2010,33
158,"Anderson County, SC",45007,2011,32
159,"Anderson County, SC",45007,2012,28
160,"Anderson County, SC",45007,2013,36
161,"Anderson County, SC",45007,2014,35
162,"Anderson County, SC",45007,2015,39
163,"Anderson County, TN",47001,2003,10
164,"Anderson County, TN",47001,2005,13
165,"Anderson County, TN",47001,2006,13
166,"Anderson County, TN",47001,2008,13
167,"Anderson County, TN",47001,2010,16
168,"Anderson County, TN",47001,2011,15
169,"Anderson County, TN",47001,2012,16
170,"Anderson County, TN",47001,2013,20
171,"Anderson County, TN",47001,2014,18
172,"Anderson County, TN",47001,2015,22
173,"Anderson County, TX",48001,2004,11
